酒儿公告,#genre#
请阅读,https://liuliuliu.tv/api/channels/1997/stream
cheloo.top,https://liuliuliu.tv/api/channels/233/stream
更新日期,https://gitlab.com/lr77/IPTV/-/raw/main/%E4%B8%BB%E8%A7%92.mp4
2025-04-08,https://gitlab.com/lr77/IPTV/-/raw/main/%E8%B5%B7%E9%A3%8E%E4%BA%86.mp4
央视频道,#genre#
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33$『线路13』
CCTV1,http://221.226.4.10:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$『线路14』
CCTV1,http://106.46.113.171:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$『线路15』
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1$『线路16』
CCTV1,http://goo.bkpcp.top/mg/cctv1$『线路17』
CCTV1,http://106.46.147.208:10443/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$『线路18』
CCTV1,http://114.104.171.233:20080/hls/1/index.m3u8$『线路19』
CCTV1,http://101.66.199.121:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$『线路20』
CCTV1,http://112.123.206.32:808/hls/1/index.m3u8$『线路21』
CCTV1,http://220.202.110.48:9003/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$『线路22』
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$『线路23』
CCTV1,http://3501776.xyz:35455/gaoma/cctv1.m3u8$『线路24』
CCTV1,http://60.12.183.46:9901/tsfile/live/0001_1.m3u8$『线路25』
CCTV1,http://220.164.192.48:50085/tsfile/live/0002_1.m3u8$『线路26』
CCTV1,http://jf.jxx2023.work:40446/tsfile/live/0001_1.m3u8$『线路27』
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8$『线路28』
CCTV1,http://221.2.148.205:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$『线路29』
CCTV1,http://101.66.198.2:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$『线路30』
CCTV1,http://101.66.198.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$『线路31』
CCTV1,http://101.66.198.175:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$『线路32』
CCTV1,http://101.66.198.247:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$『线路33』
CCTV1,http://36.44.157.140:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$『线路34』
CCTV1,http://121.33.239.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$『线路35』
CCTV1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$『线路36』
CCTV1,http://182.92.109.190:1668/migu720/migu720.php?id=cctv1$『线路37』
CCTV1,http://kxrj.site:64325/86/mg.php?id=cctv1$『线路38』
CCTV1,http://dd.ddzb.fun/php/migu.php?id=cctv1$『线路39』
CCTV1,http://123.10.78.208:808/hls/1/index.m3u8$『线路40』
CCTV1,http://58.19.244.92:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$『线路41』
CCTV1,http://218.76.32.193:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$『线路42』
CCTV1,http://42.48.50.232:9002/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$『线路43』
CCTV1,http://183.185.105.197:8082/rtp/226.0.2.153:9136$『线路44』
CCTV1,http://183.185.105.197:8082/rtp/226.0.2.18:8056$『线路45』
CCTV1,http://118.249.23.16:4022/udp/239.76.246.151:1234$『线路46』
CCTV1,http://118.249.23.16:4022/udp/239.76.253.151:9000$『线路47』
CCTV1,http://171.213.196.134:8088/udp/239.93.0.184:5140$『线路48』
CCTV1,http://171.213.196.134:8088/udp/239.93.0.148:5140$『线路49』
CCTV1,http://171.213.196.134:8088/udp/239.93.1.68:5140$『线路50』
CCTV1,http://114.228.152.34:8888/rtp/239.49.8.129:6000$『线路51』
CCTV1,http://114.228.152.34:8888/rtp/239.49.1.1:6000$『线路52』
CCTV1,http://180.119.183.89:8800/rtp/239.49.8.129:6000$『线路53』
CCTV1,http://180.119.183.89:8800/rtp/239.49.1.1:6000$『线路54』
CCTV1,http://121.227.243.195:7766/rtp/239.49.8.129:6000$『线路55』
CCTV1,http://121.227.243.195:7766/rtp/239.49.1.1:6000$『线路56』
CCTV1,http://49.67.96.109:55555/rtp/239.49.8.129:6000$『线路57』
CCTV1,http://49.67.96.109:55555/rtp/239.49.1.1:6000$『线路58』
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8$『线路59』
CCTV1,http://www.zzlag.top:9087/tsfile/live/1010_1.m3u8?key=txiptv$『线路60』
CCTV1,http://171.8.247.154:808/hls/1/index.m3u8$『线路61』
